Date,Close
29.05.1998 kl. 16.00.00,"1090,82"
01.06.1998 kl. 16.00.00,"1090,98"
02.06.1998 kl. 16.00.00,"1093,03"
03.06.1998 kl. 16.00.00,"1082,73"
04.06.1998 kl. 16.00.00,"1094,83"
05.06.1998 kl. 16.00.00,"1113,86"
08.06.1998 kl. 16.00.00,"1115,74"
09.06.1998 kl. 16.00.00,"1118,41"
10.06.1998 kl. 16.00.00,"1112,28"
11.06.1998 kl. 16.00.00,"1094,58"
12.06.1998 kl. 16.00.00,"1098,84"
15.06.1998 kl. 16.00.00,"1077,01"
16.06.1998 kl. 16.00.00,"1087,58"
17.06.1998 kl. 16.00.00,"1107,14"
18.06.1998 kl. 16.00.00,"1106,37"
19.06.1998 kl. 16.00.00,"1100,65"
22.06.1998 kl. 16.00.00,"1103,18"
23.06.1998 kl. 16.00.00,"1119,49"
24.06.1998 kl. 16.00.00,"1132,85"
25.06.1998 kl. 16.00.00,"1129,28"
26.06.1998 kl. 16.00.00,"1133,2"
29.06.1998 kl. 16.00.00,"1138,49"
30.06.1998 kl. 16.00.00,"1133,84"
01.07.1998 kl. 16.00.00,"1148,56"
02.07.1998 kl. 16.00.00,"1146,42"
06.07.1998 kl. 16.00.00,"1157,31"
07.07.1998 kl. 16.00.00,"1154,66"
08.07.1998 kl. 16.00.00,"1166,37"
09.07.1998 kl. 16.00.00,"1158,56"
10.07.1998 kl. 16.00.00,"1164,33"
13.07.1998 kl. 16.00.00,"1165,92"
14.07.1998 kl. 16.00.00,"1177,58"
15.07.1998 kl. 16.00.00,"1174,81"
16.07.1998 kl. 16.00.00,"1183,99"
17.07.1998 kl. 16.00.00,"1186,69"
20.07.1998 kl. 16.00.00,"1184,1"
21.07.1998 kl. 16.00.00,"1165,07"
22.07.1998 kl. 16.00.00,"1164,08"
23.07.1998 kl. 16.00.00,"1139,76"
24.07.1998 kl. 16.00.00,"1140,8"
27.07.1998 kl. 16.00.00,"1147,27"
28.07.1998 kl. 16.00.00,"1130,14"
29.07.1998 kl. 16.00.00,"1125,22"
30.07.1998 kl. 16.00.00,"1142,95"
31.07.1998 kl. 16.00.00,"1120,67"
03.08.1998 kl. 16.00.00,"1112,44"
04.08.1998 kl. 16.00.00,"1072,15"
05.08.1998 kl. 16.00.00,"1081,47"
06.08.1998 kl. 16.00.00,"1089,64"
07.08.1998 kl. 16.00.00,"1089,45"
10.08.1998 kl. 16.00.00,"1083,14"
11.08.1998 kl. 16.00.00,"1068,98"
12.08.1998 kl. 16.00.00,"1084,22"
13.08.1998 kl. 16.00.00,"1074,92"
14.08.1998 kl. 16.00.00,"1062,75"
17.08.1998 kl. 16.00.00,"1083,67"
18.08.1998 kl. 16.00.00,"1101,2"
19.08.1998 kl. 16.00.00,"1098,06"
20.08.1998 kl. 16.00.00,"1091,6"
21.08.1998 kl. 16.00.00,"1081,24"
24.08.1998 kl. 16.00.00,"1088,13"
25.08.1998 kl. 16.00.00,"1092,81"
26.08.1998 kl. 16.00.00,"1084,18"
27.08.1998 kl. 16.00.00,"1042,51"
28.08.1998 kl. 16.00.00,"1027,15"
31.08.1998 kl. 16.00.00,"957,53"
01.09.1998 kl. 16.00.00,"994,25"
02.09.1998 kl. 16.00.00,"990,52"
03.09.1998 kl. 16.00.00,"982,26"
04.09.1998 kl. 16.00.00,"973,9"
08.09.1998 kl. 16.00.00,"1023,46"
09.09.1998 kl. 16.00.00,"1006,2"
10.09.1998 kl. 16.00.00,"980,18"
11.09.1998 kl. 16.00.00,"1009,06"
14.09.1998 kl. 16.00.00,"1029,72"
15.09.1998 kl. 16.00.00,"1037,65"
16.09.1998 kl. 16.00.00,"1045,48"
17.09.1998 kl. 16.00.00,"1018,86"
18.09.1998 kl. 16.00.00,"1020,09"
21.09.1998 kl. 16.00.00,"1023,89"
22.09.1998 kl. 16.00.00,"1029,79"
23.09.1998 kl. 16.00.00,"1066,09"
24.09.1998 kl. 16.00.00,"1042,72"
25.09.1998 kl. 16.00.00,"1044,75"
28.09.1998 kl. 16.00.00,"1048,69"
29.09.1998 kl. 16.00.00,"1049,01"
30.09.1998 kl. 16.00.00,"1017,01"
01.10.1998 kl. 16.00.00,"986,39"
02.10.1998 kl. 16.00.00,"1002,6"
05.10.1998 kl. 16.00.00,"988,53"
06.10.1998 kl. 16.00.00,"984,59"
07.10.1998 kl. 16.00.00,"970,68"
08.10.1998 kl. 16.00.00,"959,47"
09.10.1998 kl. 16.00.00,"984,32"
12.10.1998 kl. 16.00.00,"997,71"
13.10.1998 kl. 16.00.00,"994,88"
14.10.1998 kl. 16.00.00,"1005,56"
15.10.1998 kl. 16.00.00,"1047,5"
16.10.1998 kl. 16.00.00,"1056,42"
19.10.1998 kl. 16.00.00,"1062,4"
20.10.1998 kl. 16.00.00,"1063,93"
21.10.1998 kl. 16.00.00,"1069,88"
22.10.1998 kl. 16.00.00,"1078,47"
23.10.1998 kl. 16.00.00,"1070,67"
26.10.1998 kl. 16.00.00,"1072,35"
27.10.1998 kl. 16.00.00,"1065,35"
28.10.1998 kl. 16.00.00,"1068,13"
