Date,Close
30.08.2000 kl. 18.00.00,"391,62"
31.08.2000 kl. 18.00.00,"394,96"
01.09.2000 kl. 18.00.00,"400,84"
04.09.2000 kl. 18.00.00,"404,28"
05.09.2000 kl. 18.00.00,"402,11"
06.09.2000 kl. 18.00.00,"401,29"
07.09.2000 kl. 18.00.00,"401,2"
08.09.2000 kl. 18.00.00,"395,47"
11.09.2000 kl. 18.00.00,"394,85"
12.09.2000 kl. 18.00.00,393
13.09.2000 kl. 18.00.00,"388,7"
14.09.2000 kl. 18.00.00,"392,06"
15.09.2000 kl. 18.00.00,"388,39"
18.09.2000 kl. 18.00.00,"386,75"
19.09.2000 kl. 18.00.00,"386,97"
20.09.2000 kl. 18.00.00,"382,08"
21.09.2000 kl. 18.00.00,"377,03"
22.09.2000 kl. 18.00.00,"376,19"
25.09.2000 kl. 18.00.00,"379,84"
26.09.2000 kl. 18.00.00,"376,63"
27.09.2000 kl. 18.00.00,"378,07"
28.09.2000 kl. 18.00.00,"376,84"
29.09.2000 kl. 18.00.00,"377,44"
02.10.2000 kl. 18.00.00,"379,92"
03.10.2000 kl. 18.00.00,"382,54"
04.10.2000 kl. 18.00.00,"380,59"
05.10.2000 kl. 18.00.00,"382,57"
06.10.2000 kl. 18.00.00,"380,45"
09.10.2000 kl. 18.00.00,"372,6"
10.10.2000 kl. 18.00.00,"373,3"
11.10.2000 kl. 18.00.00,"365,75"
12.10.2000 kl. 18.00.00,"368,23"
13.10.2000 kl. 18.00.00,"370,85"
16.10.2000 kl. 18.00.00,"373,41"
17.10.2000 kl. 18.00.00,"369,69"
18.10.2000 kl. 18.00.00,"367,21"
19.10.2000 kl. 18.00.00,"375,27"
20.10.2000 kl. 18.00.00,"377,5"
23.10.2000 kl. 18.00.00,"380,49"
24.10.2000 kl. 18.00.00,"388,14"
25.10.2000 kl. 18.00.00,"384,83"
26.10.2000 kl. 18.00.00,"381,35"
27.10.2000 kl. 18.00.00,"384,55"
30.10.2000 kl. 18.00.00,"385,29"
31.10.2000 kl. 18.00.00,"388,03"
01.11.2000 kl. 18.00.00,"387,66"
02.11.2000 kl. 18.00.00,"386,45"
03.11.2000 kl. 18.00.00,"386,52"
06.11.2000 kl. 18.00.00,"385,99"
07.11.2000 kl. 18.00.00,"386,85"
08.11.2000 kl. 18.00.00,"385,63"
09.11.2000 kl. 18.00.00,"381,96"
10.11.2000 kl. 18.00.00,"377,68"
13.11.2000 kl. 18.00.00,"372,33"
14.11.2000 kl. 18.00.00,"380,91"
15.11.2000 kl. 18.00.00,"382,84"
16.11.2000 kl. 18.00.00,"381,52"
17.11.2000 kl. 18.00.00,"380,39"
20.11.2000 kl. 18.00.00,"374,71"
21.11.2000 kl. 18.00.00,"377,39"
22.11.2000 kl. 18.00.00,"367,59"
23.11.2000 kl. 18.00.00,"371,31"
24.11.2000 kl. 18.00.00,"375,94"
27.11.2000 kl. 18.00.00,"377,47"
28.11.2000 kl. 18.00.00,"371,72"
29.11.2000 kl. 18.00.00,"370,32"
30.11.2000 kl. 18.00.00,"363,25"
